iter	Passed	Remaining
0	1	149
1	2	142
2	4	141
3	5	130
4	6	129
5	8	126
6	9	123
7	10	119
8	11	115
9	12	112
10	13	109
11	14	107
12	15	104
13	16	102
14	17	100
15	18	98
16	19	96
17	20	94
18	21	92
19	22	90
20	23	89
21	24	88
22	25	86
23	27	85
24	27	83
25	28	82
26	29	81
27	31	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	55
49	53	53
50	54	52
51	56	51
52	57	50
53	58	49
54	58	48
55	59	46
56	60	45
57	61	44
58	62	43
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	86	20
81	87	19
82	88	18
83	89	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
